t -  arbitrary time, [c]	M - mean anomaly, [rad]	E - eccentric anonaly, [rad]	Theta - true anomaly, [rad]
147	0.165733	0.165818	0.165818
148	0.16686	0.166946	0.166946
149	0.167988	0.168074	0.168074
150	0.169115	0.169202	0.169202
151	0.170242	0.17033	0.17033
152	0.17137	0.171458	0.171458
153	0.172497	0.172586	0.172586
154	0.173625	0.173714	0.173714
155	0.174752	0.174842	0.174842
156	0.17588	0.17597	0.17597
157	0.177007	0.177098	0.177098
158	0.178134	0.178226	0.178226
159	0.179262	0.179354	0.179354
160	0.180389	0.180482	0.180482
161	0.181517	0.18161	0.18161
162	0.182644	0.182738	0.182738
163	0.183772	0.183866	0.183866
164	0.184899	0.184994	0.184994
165	0.186026	0.186122	0.186122
166	0.187154	0.18725	0.18725
167	0.188281	0.188378	0.188378
168	0.189409	0.189506	0.189506
169	0.190536	0.190634	0.190634
170	0.191664	0.191762	0.191762
171	0.192791	0.19289	0.19289
172	0.193919	0.194018	0.194018
173	0.195046	0.195146	0.195146
174	0.196173	0.196274	0.196274
175	0.197301	0.197402	0.197402
176	0.198428	0.19853	0.19853
177	0.199556	0.199658	0.199658
178	0.200683	0.200786	0.200786
179	0.201811	0.201914	0.201914
180	0.202938	0.203042	0.203042
181	0.204065	0.20417	0.20417
182	0.205193	0.205298	0.205298
183	0.20632	0.206426	0.206426
184	0.207448	0.207554	0.207554
185	0.208575	0.208682	0.208682
186	0.209703	0.20981	0.20981
187	0.21083	0.210938	0.210938
188	0.211957	0.212066	0.212066
189	0.213085	0.213194	0.213194
190	0.214212	0.214322	0.214322
191	0.21534	0.21545	0.21545
192	0.216467	0.216578	0.216578
193	0.217595	0.217706	0.217706
194	0.218722	0.218834	0.218834
195	0.219849	0.219962	0.219962
196	0.220977	0.22109	0.22109
197	0.222104	0.222218	0.222218
198	0.223232	0.223346	0.223346
199	0.224359	0.224474	0.224474
200	0.225487	0.225602	0.225602
201	0.226614	0.22673	0.22673
202	0.227742	0.227858	0.227858
203	0.228869	0.228986	0.228986
204	0.229996	0.230114	0.230114
205	0.231124	0.231242	0.231242
206	0.232251	0.23237	0.23237
207	0.233379	0.233498	0.233498
208	0.234506	0.234626	0.234626
209	0.235634	0.235754	0.235754
210	0.236761	0.236882	0.236882
211	0.237888	0.23801	0.23801
212	0.239016	0.239138	0.239138
213	0.240143	0.240266	0.240266
214	0.241271	0.241394	0.241394
215	0.242398	0.242522	0.242522
216	0.243526	0.24365	0.24365
217	0.244653	0.244778	0.244778
218	0.24578	0.245906	0.245906
219	0.246908	0.247034	0.247034
220	0.248035	0.248162	0.248162
221	0.249163	0.24929	0.24929
222	0.25029	0.250418	0.250418
223	0.251418	0.251546	0.251546
224	0.252545	0.252674	0.252674
225	0.253672	0.253802	0.253802
226	0.2548	0.25493	0.25493
227	0.255927	0.256058	0.256058
228	0.257055	0.257186	0.257186
229	0.258182	0.258314	0.258314
230	0.25931	0.259442	0.259442
231	0.260437	0.26057	0.26057
232	0.261565	0.261698	0.261698
233	0.262692	0.262826	0.262826
234	0.263819	0.263954	0.263954
235	0.264947	0.265082	0.265082
236	0.266074	0.26621	0.26621
237	0.267202	0.267338	0.267338
238	0.268329	0.268466	0.268466
239	0.269457	0.269594	0.269594
240	0.270584	0.270722	0.270722
241	0.271711	0.27185	0.27185
242	0.272839	0.272978	0.272978
243	0.273966	0.274106	0.274106
244	0.275094	0.275234	0.275234
245	0.276221	0.276362	0.276362
246	0.277349	0.27749	0.27749
247	0.278476	0.278618	0.278618
248	0.279603	0.279746	0.279746
249	0.280731	0.280874	0.280874
250	0.281858	0.282002	0.282002
251	0.282986	0.28313	0.28313
252	0.284113	0.284258	0.284258
253	0.285241	0.285386	0.285386
254	0.286368	0.286514	0.286514
255	0.287495	0.287642	0.287642
256	0.288623	0.28877	0.28877
257	0.28975	0.289898	0.289898
258	0.290878	0.291026	0.291026
259	0.292005	0.292154	0.292154
260	0.293133	0.293282	0.293282
261	0.29426	0.29441	0.29441
262	0.295388	0.295538	0.295538
263	0.296515	0.296666	0.296666
264	0.297642	0.297794	0.297794
265	0.29877	0.298922	0.298922
266	0.299897	0.30005	0.30005
267	0.301025	0.301178	0.301178
268	0.302152	0.302306	0.302306
269	0.30328	0.303434	0.303434
270	0.304407	0.304562	0.304562
271	0.305534	0.30569	0.30569
272	0.306662	0.306818	0.306818
273	0.307789	0.307946	0.307946
274	0.308917	0.309074	0.309074
275	0.310044	0.310201	0.310201
276	0.311172	0.311329	0.311329
277	0.312299	0.312457	0.312457
278	0.313426	0.313585	0.313585
279	0.314554	0.314713	0.314713
280	0.315681	0.315841	0.315841
281	0.316809	0.316969	0.316969
282	0.317936	0.318097	0.318097
283	0.319064	0.319225	0.319225
284	0.320191	0.320353	0.320353
285	0.321318	0.321481	0.321481
286	0.322446	0.322609	0.322609
287	0.323573	0.323737	0.323737
288	0.324701	0.324865	0.324865
289	0.325828	0.325993	0.325993
290	0.326956	0.327121	0.327121
291	0.328083	0.328249	0.328249
292	0.32921	0.329377	0.329377
293	0.330338	0.330505	0.330505
294	0.331465	0.331633	0.331633
295	0.332593	0.332761	0.332761
296	0.33372	0.333889	0.333889
297	0.334848	0.335017	0.335017
298	0.335975	0.336145	0.336145
299	0.337103	0.337273	0.337273
300	0.33823	0.338401	0.338401
301	0.339357	0.339529	0.339529
302	0.340485	0.340657	0.340657
303	0.341612	0.341785	0.341785
304	0.34274	0.342913	0.342913
305	0.343867	0.344041	0.344041
306	0.344995	0.345169	0.345169
307	0.346122	0.346297	0.346297
308	0.347249	0.347425	0.347425
309	0.348377	0.348553	0.348553
310	0.349504	0.349681	0.349681
311	0.350632	0.350809	0.350809
312	0.351759	0.351937	0.351937
313	0.352887	0.353065	0.353065
314	0.354014	0.354193	0.354193
315	0.355141	0.355321	0.355321
316	0.356269	0.356449	0.356449
317	0.357396	0.357577	0.357577
318	0.358524	0.358705	0.358705
319	0.359651	0.359833	0.359833
320	0.360779	0.360961	0.360961
321	0.361906	0.362089	0.362089
322	0.363033	0.363217	0.363217
323	0.364161	0.364345	0.364345
324	0.365288	0.365473	0.365473
325	0.366416	0.366601	0.366601
326	0.367543	0.367729	0.367729
327	0.368671	0.368857	0.368857
328	0.369798	0.369985	0.369985
329	0.370926	0.371112	0.371112
330	0.372053	0.37224	0.37224
331	0.37318	0.373368	0.373368
332	0.374308	0.374496	0.374496
333	0.375435	0.375624	0.375624
334	0.376563	0.376752	0.376752
335	0.37769	0.37788	0.37788
336	0.378818	0.379008	0.379008
337	0.379945	0.380136	0.380136
338	0.381072	0.381264	0.381264
339	0.3822	0.382392	0.382392
340	0.383327	0.38352	0.38352
341	0.384455	0.384648	0.384648
342	0.385582	0.385776	0.385776
343	0.38671	0.386904	0.386904
344	0.387837	0.388032	0.388032
345	0.388964	0.38916	0.38916
346	0.390092	0.390288	0.390288
347	0.391219	0.391416	0.391416
348	0.392347	0.392544	0.392544
349	0.393474	0.393672	0.393672
350	0.394602	0.3948	0.3948
351	0.395729	0.395928	0.395928
352	0.396856	0.397056	0.397056
353	0.397984	0.398184	0.398184
354	0.399111	0.399312	0.399312
355	0.400239	0.40044	0.40044
356	0.401366	0.401568	0.401568
357	0.402494	0.402696	0.402696
358	0.403621	0.403824	0.403824
359	0.404749	0.404952	0.404952
360	0.405876	0.40608	0.40608
361	0.407003	0.407208	0.407208
362	0.408131	0.408336	0.408336
363	0.409258	0.409463	0.409463
364	0.410386	0.410591	0.410591
365	0.411513	0.411719	0.411719
366	0.412641	0.412847	0.412847
367	0.413768	0.413975	0.413975
368	0.414895	0.415103	0.415103
369	0.416023	0.416231	0.416231
370	0.41715	0.417359	0.417359
371	0.418278	0.418487	0.418487
372	0.419405	0.419615	0.419615
373	0.420533	0.420743	0.420743
374	0.42166	0.421871	0.421871
375	0.422787	0.422999	0.422999
376	0.423915	0.424127	0.424127
377	0.425042	0.425255	0.425255
378	0.42617	0.426383	0.426383
379	0.427297	0.427511	0.427511
380	0.428425	0.428639	0.428639
381	0.429552	0.429767	0.429767
382	0.430679	0.430895	0.430895
383	0.431807	0.432023	0.432023
384	0.432934	0.433151	0.433151
385	0.434062	0.434279	0.434279
386	0.435189	0.435407	0.435407
387	0.436317	0.436535	0.436535
388	0.437444	0.437663	0.437663
389	0.438572	0.438791	0.438791
390	0.439699	0.439918	0.439918
391	0.440826	0.441046	0.441046
392	0.441954	0.442174	0.442174
393	0.443081	0.443302	0.443302
394	0.444209	0.44443	0.44443
395	0.445336	0.445558	0.445558
396	0.446464	0.446686	0.446686
397	0.447591	0.447814	0.447814
398	0.448718	0.448942	0.448942
399	0.449846	0.45007	0.45007
400	0.450973	0.451198	0.451198
401	0.452101	0.452326	0.452326
402	0.453228	0.453454	0.453454
403	0.454356	0.454582	0.454582
404	0.455483	0.45571	0.45571
405	0.45661	0.456838	0.456838
406	0.457738	0.457966	0.457966
407	0.458865	0.459094	0.459094
408	0.459993	0.460222	0.460222
409	0.46112	0.46135	0.46135
410	0.462248	0.462478	0.462478
411	0.463375	0.463606	0.463606
412	0.464502	0.464734	0.464734
413	0.46563	0.465861	0.465861
414	0.466757	0.466989	0.466989
415	0.467885	0.468117	0.468117
416	0.469012	0.469245	0.469245
417	0.47014	0.470373	0.470373
418	0.471267	0.471501	0.471501
419	0.472395	0.472629	0.472629
420	0.473522	0.473757	0.473757
421	0.474649	0.474885	0.474885
422	0.475777	0.476013	0.476013
423	0.476904	0.477141	0.477141
424	0.478032	0.478269	0.478269
425	0.479159	0.479397	0.479397
426	0.480287	0.480525	0.480525
427	0.481414	0.481653	0.481653
428	0.482541	0.482781	0.482781
429	0.483669	0.483909	0.483909
430	0.484796	0.485037	0.485037
431	0.485924	0.486165	0.486165
432	0.487051	0.487293	0.487293
433	0.488179	0.48842	0.48842
434	0.489306	0.489548	0.489548
435	0.490433	0.490676	0.490676
436	0.491561	0.491804	0.491804
437	0.492688	0.492932	0.492932
438	0.493816	0.49406	0.49406
439	0.494943	0.495188	0.495188
440	0.496071	0.496316	0.496316
441	0.497198	0.497444	0.497444
442	0.498325	0.498572	0.498572
443	0.499453	0.4997	0.4997
444	0.50058	0.500828	0.500828
445	0.501708	0.501956	0.501956
446	0.502835	0.503084	0.503084
447	0.503963	0.504212	0.504212
448	0.50509	0.50534	0.50534
449	0.506218	0.506468	0.506468
450	0.507345	0.507596	0.507596
451	0.508472	0.508723	0.508723
452	0.5096	0.509851	0.509851
453	0.510727	0.510979	0.510979
454	0.511855	0.512107	0.512107
455	0.512982	0.513235	0.513235
456	0.51411	0.514363	0.514363
457	0.515237	0.515491	0.515491
458	0.516364	0.516619	0.516619
459	0.517492	0.517747	0.517747
460	0.518619	0.518875	0.518875
461	0.519747	0.520003	0.520003
462	0.520874	0.521131	0.521131
463	0.522002	0.522259	0.522259
464	0.523129	0.523387	0.523387
465	0.524256	0.524515	0.524515
466	0.525384	0.525643	0.525643
467	0.526511	0.52677	0.52677
468	0.527639	0.527898	0.527898
469	0.528766	0.529026	0.529026
470	0.529894	0.530154	0.530154
471	0.531021	0.531282	0.531282
472	0.532148	0.53241	0.53241
473	0.533276	0.533538	0.533538
474	0.534403	0.534666	0.534666
475	0.535531	0.535794	0.535794
476	0.536658	0.536922	0.536922
477	0.537786	0.53805	0.53805
478	0.538913	0.539178	0.539178
479	0.540041	0.540306	0.540306
480	0.541168	0.541434	0.541434
481	0.542295	0.542562	0.542562
482	0.543423	0.543689	0.543689
483	0.54455	0.544817	0.544817
484	0.545678	0.545945	0.545945
485	0.546805	0.547073	0.547073
486	0.547933	0.548201	0.548201
487	0.54906	0.549329	0.549329
488	0.550187	0.550457	0.550457
489	0.551315	0.551585	0.551585
490	0.552442	0.552713	0.552713
491	0.55357	0.553841	0.553841
492	0.554697	0.554969	0.554969
493	0.555825	0.556097	0.556097
494	0.556952	0.557225	0.557225
495	0.558079	0.558353	0.558353
496	0.559207	0.55948	0.55948
497	0.560334	0.560608	0.560608
498	0.561462	0.561736	0.561736
499	0.562589	0.562864	0.562864
500	0.563717	0.563992	0.563992
501	0.564844	0.56512	0.56512
502	0.565971	0.566248	0.566248
503	0.567099	0.567376	0.567376
504	0.568226	0.568504	0.568504
505	0.569354	0.569632	0.569632
506	0.570481	0.57076	0.57076
507	0.571609	0.571888	0.571888
508	0.572736	0.573016	0.573016
509	0.573864	0.574143	0.574143
510	0.574991	0.575271	0.575271
511	0.576118	0.576399	0.576399
512	0.577246	0.577527	0.577527
513	0.578373	0.578655	0.578655
514	0.579501	0.579783	0.579783
515	0.580628	0.580911	0.580911
516	0.581756	0.582039	0.582039
517	0.582883	0.583167	0.583167
518	0.58401	0.584295	0.584295
519	0.585138	0.585423	0.585423
520	0.586265	0.586551	0.586551
521	0.587393	0.587679	0.587679
522	0.58852	0.588806	0.588806
523	0.589648	0.589934	0.589934
524	0.590775	0.591062	0.591062
525	0.591902	0.59219	0.59219
526	0.59303	0.593318	0.593318
527	0.594157	0.594446	0.594446
528	0.595285	0.595574	0.595574
529	0.596412	0.596702	0.596702
530	0.59754	0.59783	0.59783
531	0.598667	0.598958	0.598958
532	0.599794	0.600086	0.600086
533	0.600922	0.601213	0.601213
534	0.602049	0.602341	0.602341
535	0.603177	0.603469	0.603469
536	0.604304	0.604597	0.604597
537	0.605432	0.605725	0.605725
538	0.606559	0.606853	0.606853
539	0.607687	0.607981	0.607981
540	0.608814	0.609109	0.609109
541	0.609941	0.610237	0.610237
542	0.611069	0.611365	0.611365
543	0.612196	0.612493	0.612493
544	0.613324	0.613621	0.613621
545	0.614451	0.614748	0.614748
546	0.615579	0.615876	0.615876
547	0.616706	0.617004	0.617004
548	0.617833	0.618132	0.618132
549	0.618961	0.61926	0.61926
550	0.620088	0.620388	0.620388
551	0.621216	0.621516	0.621516
552	0.622343	0.622644	0.622644
553	0.623471	0.623772	0.623772
554	0.624598	0.6249	0.6249
555	0.625725	0.626027	0.626027
556	0.626853	0.627155	0.627155
557	0.62798	0.628283	0.628283
558	0.629108	0.629411	0.629411
559	0.630235	0.630539	0.630539
560	0.631363	0.631667	0.631667
561	0.63249	0.632795	0.632795
562	0.633617	0.633923	0.633923
563	0.634745	0.635051	0.635051
564	0.635872	0.636179	0.636179
565	0.637	0.637307	0.637307
566	0.638127	0.638434	0.638434
567	0.639255	0.639562	0.639562
568	0.640382	0.64069	0.64069
569	0.641509	0.641818	0.641818
570	0.642637	0.642946	0.642946
571	0.643764	0.644074	0.644074
572	0.644892	0.645202	0.645202
573	0.646019	0.64633	0.64633
574	0.647147	0.647458	0.647458
575	0.648274	0.648585	0.648585
576	0.649402	0.649713	0.649713
577	0.650529	0.650841	0.650841
578	0.651656	0.651969	0.651969
579	0.652784	0.653097	0.653097
580	0.653911	0.654225	0.654225
581	0.655039	0.655353	0.655353
582	0.656166	0.656481	0.656481
583	0.657294	0.657609	0.657609
584	0.658421	0.658737	0.658737
585	0.659548	0.659864	0.659864
586	0.660676	0.660992	0.660992
587	0.661803	0.66212	0.66212
588	0.662931	0.663248	0.663248
589	0.664058	0.664376	0.664376
590	0.665186	0.665504	0.665504
591	0.666313	0.666632	0.666632
592	0.66744	0.66776	0.66776
593	0.668568	0.668888	0.668888
594	0.669695	0.670015	0.670015
595	0.670823	0.671143	0.671143
596	0.67195	0.672271	0.672271
597	0.673078	0.673399	0.673399
598	0.674205	0.674527	0.674527
599	0.675332	0.675655	0.675655
600	0.67646	0.676783	0.676783
601	0.677587	0.677911	0.677911
602	0.678715	0.679039	0.679039
603	0.679842	0.680166	0.680166
604	0.68097	0.681294	0.681294
605	0.682097	0.682422	0.682422
606	0.683225	0.68355	0.68355
607	0.684352	0.684678	0.684678
608	0.685479	0.685806	0.685806
609	0.686607	0.686934	0.686934
610	0.687734	0.688062	0.688062
611	0.688862	0.68919	0.68919
612	0.689989	0.690317	0.690317
613	0.691117	0.691445	0.691445
614	0.692244	0.692573	0.692573
615	0.693371	0.693701	0.693701
616	0.694499	0.694829	0.694829
617	0.695626	0.695957	0.695957
618	0.696754	0.697085	0.697085
619	0.697881	0.698213	0.698213
620	0.699009	0.69934	0.69934
621	0.700136	0.700468	0.700468
622	0.701263	0.701596	0.701596
623	0.702391	0.702724	0.702724
624	0.703518	0.703852	0.703852
625	0.704646	0.70498	0.70498
626	0.705773	0.706108	0.706108
627	0.706901	0.707236	0.707236
628	0.708028	0.708363	0.708363
629	0.709155	0.709491	0.709491
630	0.710283	0.710619	0.710619
631	0.71141	0.711747	0.711747
632	0.712538	0.712875	0.712875
633	0.713665	0.714003	0.714003
634	0.714793	0.715131	0.715131
635	0.71592	0.716259	0.716259
636	0.717048	0.717386	0.717386
637	0.718175	0.718514	0.718514
638	0.719302	0.719642	0.719642
639	0.72043	0.72077	0.72077
640	0.721557	0.721898	0.721898
641	0.722685	0.723026	0.723026
642	0.723812	0.724154	0.724154
643	0.72494	0.725282	0.725282
644	0.726067	0.726409	0.726409
645	0.727194	0.727537	0.727537
646	0.728322	0.728665	0.728665
647	0.729449	0.729793	0.729793
648	0.730577	0.730921	0.730921
649	0.731704	0.732049	0.732049
650	0.732832	0.733177	0.733177
651	0.733959	0.734304	0.734304
652	0.735086	0.735432	0.735432
653	0.736214	0.73656	0.73656
654	0.737341	0.737688	0.737688
655	0.738469	0.738816	0.738816
656	0.739596	0.739944	0.739944
657	0.740724	0.741072	0.741072
658	0.741851	0.742199	0.742199
659	0.742978	0.743327	0.743327
660	0.744106	0.744455	0.744455
661	0.745233	0.745583	0.745583
662	0.746361	0.746711	0.746711
663	0.747488	0.747839	0.747839
664	0.748616	0.748967	0.748967
665	0.749743	0.750095	0.750095
666	0.750871	0.751222	0.751222
667	0.751998	0.75235	0.75235
668	0.753125	0.753478	0.753478
669	0.754253	0.754606	0.754606
670	0.75538	0.755734	0.755734
671	0.756508	0.756862	0.756862
672	0.757635	0.75799	0.75799
673	0.758763	0.759117	0.759117
674	0.75989	0.760245	0.760245
675	0.761017	0.761373	0.761373
676	0.762145	0.762501	0.762501
677	0.763272	0.763629	0.763629
678	0.7644	0.764757	0.764757
